state,district,year,month,rain
Maharashtra,Buldana,2019,June,37.7
Maharashtra,Buldana,2019,July,191.4
Maharashtra,Buldana,2019,August,130
Maharashtra,Buldana,2019,September,141.6
Maharashtra,Buldana,2019,October,39.2
Maharashtra,Buldana,2019,November,0
Maharashtra,Buldana,2019,December,0
Maharashtra,Buldana,2018,January,0
Maharashtra,Buldana,2018,February,0
Maharashtra,Buldana,2018,March,78.2
Maharashtra,Buldana,2018,April,0
Maharashtra,Buldana,2018,May,36.3
Maharashtra,Buldana,2018,June,106.7
Maharashtra,Buldana,2018,July,191.5
Maharashtra,Buldana,2018,August,465.5
Maharashtra,Buldana,2018,September,146.6
Maharashtra,Buldana,2018,October,40.1
Maharashtra,Buldana,2018,November,12.9
Maharashtra,Buldana,2018,December,0
Maharashtra,Buldana,2017,January,0
Maharashtra,Buldana,2017,February,0
Maharashtra,Buldana,2017,March,0
Maharashtra,Buldana,2017,April,1
Maharashtra,Buldana,2017,May,0.8
Maharashtra,Buldana,2017,June,96.4
Maharashtra,Buldana,2017,July,238.3
Maharashtra,Buldana,2017,August,174
Maharashtra,Buldana,2017,September,168
Maharashtra,Buldana,2017,October,0
Maharashtra,Buldana,2017,November,0
Maharashtra,Buldana,2017,December,0
Maharashtra,Buldana,2014,January,0
Maharashtra,Buldana,2014,February,0
Maharashtra,Buldana,2014,March,8
Maharashtra,Buldana,2014,April,0
Maharashtra,Buldana,2014,May,0
Maharashtra,Buldana,2014,June,78.7
Maharashtra,Buldana,2014,July,157.4
Maharashtra,Buldana,2014,August,117.4
Maharashtra,Buldana,2014,September,235.5
Maharashtra,Buldana,2014,October,37.2
Maharashtra,Buldana,2014,November,0
Maharashtra,Buldana,2014,December,0
Maharashtra,Buldana,2015,January,0
Maharashtra,Buldana,2015,February,0
Maharashtra,Buldana,2015,March,82
Maharashtra,Buldana,2015,April,0
Maharashtra,Buldana,2015,May,4
Maharashtra,Buldana,2015,June,85
Maharashtra,Buldana,2015,July,235.1
Maharashtra,Buldana,2015,August,172.4
Maharashtra,Buldana,2015,September,60.9
Maharashtra,Buldana,2015,October,79.7
Maharashtra,Buldana,2015,November,110.3
Maharashtra,Buldana,2015,December,11.9
Maharashtra,Buldana,2016,January,10.7
Maharashtra,Buldana,2016,February,2.5
Maharashtra,Buldana,2016,March,13.3
Maharashtra,Buldana,2016,April,0
Maharashtra,Buldana,2016,May,0
Maharashtra,Buldana,2016,June,170.9
